NAME	FAB_NAME	PORT_TYPE	EQP_NAME	RAILLINE_NAME	DISTANCE
A10_LSTB_123_Port	SMT	LSTB	,	rl_A10_22_23	1667
A10_LSTB_124_Port	SMT	LSTB	,	rl_A10_22_23	2292
A10_LSTB_125_Port	SMT	LSTB	,	rl_A10_22_23	2917
A10_LSTB_126_Port	SMT	LSTB	,	rl_A10_22_23	3542
A10_LSTB_127_Port	SMT	LSTB	,	rl_A10_22_23	4167
A10_LSTB_128_Port	SMT	LSTB	,	rl_A10_22_23	4792
A10_LSTB_129_Port	SMT	LSTB	,	rl_A10_22_23	5417
A10_LSTB_12_Port	SMT	LSTB	,	rl_A10_2_3	7917
A10_LSTB_130_Port	SMT	LSTB	,	rl_A10_22_23	6042
A10_LSTB_131_Port	SMT	LSTB	,	rl_A10_22_23	6667
A10_LSTB_132_Port	SMT	LSTB	,	rl_A10_22_23	7292
A10_LSTB_133_Port	SMT	LSTB	,	rl_A10_22_23	7917
A10_LSTB_134_Port	SMT	LSTB	,	rl_A10_22_23	8542
A10_LSTB_135_Port	SMT	LSTB	,	rl_A10_22_23	9167
A10_LSTB_136_Port	SMT	LSTB	,	rl_A10_22_23	9792
A10_LSTB_137_Port	SMT	LSTB	,	rl_A10_24_25	1042
A10_LSTB_138_Port	SMT	LSTB	,	rl_A10_24_25	1667
A10_LSTB_139_Port	SMT	LSTB	,	rl_A10_24_25	2292
A10_LSTB_13_Port	SMT	LSTB	,	rl_A10_4_5	1042
A10_LSTB_140_Port	SMT	LSTB	,	rl_A10_24_25	2917
A10_LSTB_141_Port	SMT	LSTB	,	rl_A10_24_25	3542
A10_LSTB_142_Port	SMT	LSTB	,	rl_A10_24_25	4167
A10_LSTB_143_Port	SMT	LSTB	,	rl_A10_24_25	4792
A10_LSTB_144_Port	SMT	LSTB	,	rl_A10_24_25	5417
A10_LSTB_145_Port	SMT	LSTB	,	rl_A10_24_25	6042
A10_LSTB_146_Port	SMT	LSTB	,	rl_A10_24_25	6667
A10_LSTB_147_Port	SMT	LSTB	,	rl_A10_24_25	7292
A10_LSTB_148_Port	SMT	LSTB	,	rl_A10_24_25	7917
A10_LSTB_14_Port	SMT	LSTB	,	rl_A10_4_5	1667
A10_LSTB_15_Port	SMT	LSTB	,	rl_A10_4_5	2292
A10_LSTB_16_Port	SMT	LSTB	,	rl_A10_4_5	2917
A10_LSTB_17_Port	SMT	LSTB	,	rl_A10_4_5	3542
A10_LSTB_18_Port	SMT	LSTB	,	rl_A10_4_5	4167
A10_LSTB_19_Port	SMT	LSTB	,	rl_A10_4_5	4792
A10_LSTB_1_Port	SMT	LSTB	,	rl_A10_2_3	1042
A10_LSTB_20_Port	SMT	LSTB	,	rl_A10_4_5	5417
A10_LSTB_21_Port	SMT	LSTB	,	rl_A10_4_5	6042
A10_LSTB_22_Port	SMT	LSTB	,	rl_A10_4_5	6667
A10_LSTB_23_Port	SMT	LSTB	,	rl_A10_4_5	7292
A10_LSTB_24_Port	SMT	LSTB	,	rl_A10_4_5	7917
A10_LSTB_25_Port	SMT	LSTB	,	rl_A10_4_5	8542
A10_LSTB_26_Port	SMT	LSTB	,	rl_A10_4_5	9167
A10_LSTB_27_Port	SMT	LSTB	,	rl_A10_4_5	9792
A10_LSTB_28_Port	SMT	LSTB	,	rl_A10_6_7	1042
A10_LSTB_29_Port	SMT	LSTB	,	rl_A10_6_7	1667
A10_LSTB_2_Port	SMT	LSTB	,	rl_A10_2_3	1667
A10_LSTB_30_Port	SMT	LSTB	,	rl_A10_6_7	2292
A10_LSTB_31_Port	SMT	LSTB	,	rl_A10_6_7	2917
A10_LSTB_32_Port	SMT	LSTB	,	rl_A10_6_7	3542
A10_LSTB_33_Port	SMT	LSTB	,	rl_A10_6_7	4167
A10_LSTB_34_Port	SMT	LSTB	,	rl_A10_6_7	4792
A10_LSTB_35_Port	SMT	LSTB	,	rl_A10_6_7	5417
A10_LSTB_36_Port	SMT	LSTB	,	rl_A10_6_7	6042
A10_LSTB_37_Port	SMT	LSTB	,	rl_A10_6_7	6667
A10_LSTB_38_Port	SMT	LSTB	,	rl_A10_6_7	7292
A10_LSTB_39_Port	SMT	LSTB	,	rl_A10_6_7	7917
A10_LSTB_3_Port	SMT	LSTB	,	rl_A10_2_3	2292
A10_LSTB_40_Port	SMT	LSTB	,	rl_A10_6_7	8542
A10_LSTB_41_Port	SMT	LSTB	,	rl_A10_6_7	9167
A10_LSTB_42_Port	SMT	LSTB	,	rl_A10_6_7	9792
A10_LSTB_43_Port	SMT	LSTB	,	rl_A10_6_7	10417
A10_LSTB_44_Port	SMT	LSTB	,	rl_A10_6_7	11042
A10_LSTB_45_Port	SMT	LSTB	,	rl_A10_6_7	11667
A10_LSTB_46_Port	SMT	LSTB	,	rl_A10_6_7	12292
A10_LSTB_47_Port	SMT	LSTB	,	rl_A10_6_7	12917
A10_LSTB_48_Port	SMT	LSTB	,	rl_A10_8_9	1042
A10_LSTB_49_Port	SMT	LSTB	,	rl_A10_8_9	1667
A10_LSTB_4_Port	SMT	LSTB	,	rl_A10_2_3	2917
A10_LSTB_50_Port	SMT	LSTB	,	rl_A10_8_9	2292
A10_LSTB_51_Port	SMT	LSTB	,	rl_A10_8_9	2917
A10_LSTB_52_Port	SMT	LSTB	,	rl_A10_8_9	3542
A10_LSTB_53_Port	SMT	LSTB	,	rl_A10_8_9	4167
A10_LSTB_54_Port	SMT	LSTB	,	rl_A10_8_9	4792
A10_LSTB_55_Port	SMT	LSTB	,	rl_A10_8_9	5417
A10_LSTB_56_Port	SMT	LSTB	,	rl_A10_8_9	6042
A10_LSTB_57_Port	SMT	LSTB	,	rl_A10_8_9	6667
A10_LSTB_58_Port	SMT	LSTB	,	rl_A10_8_9	7292
A10_LSTB_59_Port	SMT	LSTB	,	rl_A10_8_9	7917
A10_LSTB_5_Port	SMT	LSTB	,	rl_A10_2_3	3542
A10_LSTB_60_Port	SMT	LSTB	,	rl_A10_8_9	8542
A10_LSTB_61_Port	SMT	LSTB	,	rl_A10_8_9	9167
A10_LSTB_62_Port	SMT	LSTB	,	rl_A10_8_9	9792
A10_LSTB_63_Port	SMT	LSTB	,	rl_A10_10_11	1042
A10_LSTB_64_Port	SMT	LSTB	,	rl_A10_10_11	1667
A10_LSTB_65_Port	SMT	LSTB	,	rl_A10_10_11	2292
A10_LSTB_66_Port	SMT	LSTB	,	rl_A10_10_11	2917
A10_LSTB_67_Port	SMT	LSTB	,	rl_A10_10_11	3542
A10_LSTB_68_Port	SMT	LSTB	,	rl_A10_10_11	4167
A10_LSTB_69_Port	SMT	LSTB	,	rl_A10_10_11	4792
A10_LSTB_6_Port	SMT	LSTB	,	rl_A10_2_3	4167
A10_LSTB_70_Port	SMT	LSTB	,	rl_A10_10_11	5417
A10_LSTB_71_Port	SMT	LSTB	,	rl_A10_10_11	6042
A10_LSTB_72_Port	SMT	LSTB	,	rl_A10_10_11	6667
A10_LSTB_73_Port	SMT	LSTB	,	rl_A10_10_11	7292
A10_LSTB_74_Port	SMT	LSTB	,	rl_A10_10_11	7917
A10_LSTB_75_Port	SMT	LSTB	,	rl_A10_16_17	1042
A10_LSTB_76_Port	SMT	LSTB	,	rl_A10_16_17	1667
A10_LSTB_77_Port	SMT	LSTB	,	rl_A10_16_17	2292
A10_LSTB_78_Port	SMT	LSTB	,	rl_A10_16_17	2917
A10_LSTB_79_Port	SMT	LSTB	,	rl_A10_16_17	3542
A10_LSTB_7_Port	SMT	LSTB	,	rl_A10_2_3	4792
A10_LSTB_80_Port	SMT	LSTB	,	rl_A10_16_17	4167
A10_LSTB_81_Port	SMT	LSTB	,	rl_A10_16_17	4792
A10_LSTB_82_Port	SMT	LSTB	,	rl_A10_16_17	5417
A10_LSTB_83_Port	SMT	LSTB	,	rl_A10_16_17	6042
A10_LSTB_84_Port	SMT	LSTB	,	rl_A10_16_17	6667
A10_LSTB_85_Port	SMT	LSTB	,	rl_A10_16_17	7292
A10_LSTB_86_Port	SMT	LSTB	,	rl_A10_16_17	7917
A10_LSTB_87_Port	SMT	LSTB	,	rl_A10_18_19	1042
A10_LSTB_88_Port	SMT	LSTB	,	rl_A10_18_19	1667
A10_LSTB_89_Port	SMT	LSTB	,	rl_A10_18_19	2292
A10_LSTB_8_Port	SMT	LSTB	,	rl_A10_2_3	5417
A10_LSTB_90_Port	SMT	LSTB	,	rl_A10_18_19	2917
A10_LSTB_91_Port	SMT	LSTB	,	rl_A10_18_19	3542
A10_LSTB_92_Port	SMT	LSTB	,	rl_A10_18_19	4167
A10_LSTB_93_Port	SMT	LSTB	,	rl_A10_18_19	4792
A10_LSTB_94_Port	SMT	LSTB	,	rl_A10_18_19	5417
A10_LSTB_95_Port	SMT	LSTB	,	rl_A10_18_19	6042
A10_LSTB_96_Port	SMT	LSTB	,	rl_A10_18_19	6667
A10_LSTB_97_Port	SMT	LSTB	,	rl_A10_18_19	7292
A10_LSTB_98_Port	SMT	LSTB	,	rl_A10_18_19	7917
A10_LSTB_99_Port	SMT	LSTB	,	rl_A10_18_19	8542
A10_LSTB_9_Port	SMT	LSTB	,	rl_A10_2_3	6042
A10_RSTB_100_Port	SMT	RSTB	,	rl_A10_18_19	9167
A10_RSTB_101_Port	SMT	RSTB	,	rl_A10_18_19	9792
A10_RSTB_102_Port	SMT	RSTB	,	rl_A10_20_21	1042
A10_RSTB_103_Port	SMT	RSTB	,	rl_A10_20_21	1667
A10_RSTB_104_Port	SMT	RSTB	,	rl_A10_20_21	2292
A10_RSTB_105_Port	SMT	RSTB	,	rl_A10_20_21	2917
A10_RSTB_106_Port	SMT	RSTB	,	rl_A10_20_21	3542
A10_RSTB_107_Port	SMT	RSTB	,	rl_A10_20_21	4167
A10_RSTB_108_Port	SMT	RSTB	,	rl_A10_20_21	4792
A10_RSTB_109_Port	SMT	RSTB	,	rl_A10_20_21	5417
A10_RSTB_10_Port	SMT	RSTB	,	rl_A10_2_3	6667
A10_RSTB_110_Port	SMT	RSTB	,	rl_A10_20_21	6042
A10_RSTB_111_Port	SMT	RSTB	,	rl_A10_20_21	6667
A10_RSTB_112_Port	SMT	RSTB	,	rl_A10_20_21	7292
A10_RSTB_113_Port	SMT	RSTB	,	rl_A10_20_21	7917
A10_RSTB_114_Port	SMT	RSTB	,	rl_A10_20_21	8542
A10_RSTB_115_Port	SMT	RSTB	,	rl_A10_20_21	9167
A10_RSTB_116_Port	SMT	RSTB	,	rl_A10_20_21	9792
A10_RSTB_117_Port	SMT	RSTB	,	rl_A10_20_21	10417
A10_RSTB_118_Port	SMT	RSTB	,	rl_A10_20_21	11042
A10_RSTB_119_Port	SMT	RSTB	,	rl_A10_20_21	11667
A10_RSTB_11_Port	SMT	RSTB	,	rl_A10_2_3	7292
A10_RSTB_120_Port	SMT	RSTB	,	rl_A10_20_21	12292
A10_RSTB_121_Port	SMT	RSTB	,	rl_A10_20_21	12917
A10_RSTB_122_Port	SMT	RSTB	,	rl_A10_22_23	1042
A10_RSTB_123_Port	SMT	RSTB	,	rl_A10_22_23	1667
A10_RSTB_124_Port	SMT	RSTB	,	rl_A10_22_23	2292
A10_RSTB_125_Port	SMT	RSTB	,	rl_A10_22_23	2917
A10_RSTB_126_Port	SMT	RSTB	,	rl_A10_22_23	3542
A10_RSTB_127_Port	SMT	RSTB	,	rl_A10_22_23	4167
A10_RSTB_128_Port	SMT	RSTB	,	rl_A10_22_23	4792
A10_RSTB_129_Port	SMT	RSTB	,	rl_A10_22_23	5417
A10_RSTB_12_Port	SMT	RSTB	,	rl_A10_2_3	7917
A10_RSTB_130_Port	SMT	RSTB	,	rl_A10_22_23	6042
A10_RSTB_131_Port	SMT	RSTB	,	rl_A10_22_23	6667
A10_RSTB_132_Port	SMT	RSTB	,	rl_A10_22_23	7292
A10_RSTB_133_Port	SMT	RSTB	,	rl_A10_22_23	7917
A10_RSTB_134_Port	SMT	RSTB	,	rl_A10_22_23	8542
A10_RSTB_135_Port	SMT	RSTB	,	rl_A10_22_23	9167
A10_RSTB_136_Port	SMT	RSTB	,	rl_A10_22_23	9792
A10_RSTB_137_Port	SMT	RSTB	,	rl_A10_24_25	1042
A10_RSTB_138_Port	SMT	RSTB	,	rl_A10_24_25	1667
A10_RSTB_139_Port	SMT	RSTB	,	rl_A10_24_25	2292
A10_RSTB_13_Port	SMT	RSTB	,	rl_A10_4_5	1042
A10_RSTB_140_Port	SMT	RSTB	,	rl_A10_24_25	2917
A10_RSTB_141_Port	SMT	RSTB	,	rl_A10_24_25	3542
A10_RSTB_142_Port	SMT	RSTB	,	rl_A10_24_25	4167
A10_RSTB_143_Port	SMT	RSTB	,	rl_A10_24_25	4792
A10_RSTB_144_Port	SMT	RSTB	,	rl_A10_24_25	5417
A10_RSTB_145_Port	SMT	RSTB	,	rl_A10_24_25	6042
A10_RSTB_146_Port	SMT	RSTB	,	rl_A10_24_25	6667
A10_RSTB_147_Port	SMT	RSTB	,	rl_A10_24_25	7292
A10_RSTB_148_Port	SMT	RSTB	,	rl_A10_24_25	7917
A10_RSTB_14_Port	SMT	RSTB	,	rl_A10_4_5	1667
A10_RSTB_15_Port	SMT	RSTB	,	rl_A10_4_5	2292
A10_RSTB_16_Port	SMT	RSTB	,	rl_A10_4_5	2917
A10_RSTB_17_Port	SMT	RSTB	,	rl_A10_4_5	3542
A10_RSTB_18_Port	SMT	RSTB	,	rl_A10_4_5	4167
A10_RSTB_19_Port	SMT	RSTB	,	rl_A10_4_5	4792
A10_RSTB_1_Port	SMT	RSTB	,	rl_A10_2_3	1042
A10_RSTB_20_Port	SMT	RSTB	,	rl_A10_4_5	5417
A10_RSTB_21_Port	SMT	RSTB	,	rl_A10_4_5	6042
A10_RSTB_22_Port	SMT	RSTB	,	rl_A10_4_5	6667
A10_RSTB_23_Port	SMT	RSTB	,	rl_A10_4_5	7292
A10_RSTB_24_Port	SMT	RSTB	,	rl_A10_4_5	7917
A10_RSTB_25_Port	SMT	RSTB	,	rl_A10_4_5	8542
A10_RSTB_26_Port	SMT	RSTB	,	rl_A10_4_5	9167
A10_RSTB_27_Port	SMT	RSTB	,	rl_A10_4_5	9792
A10_RSTB_28_Port	SMT	RSTB	,	rl_A10_6_7	1042
A10_RSTB_29_Port	SMT	RSTB	,	rl_A10_6_7	1667
A10_RSTB_2_Port	SMT	RSTB	,	rl_A10_2_3	1667
A10_RSTB_30_Port	SMT	RSTB	,	rl_A10_6_7	2292
A10_RSTB_31_Port	SMT	RSTB	,	rl_A10_6_7	2917
A10_RSTB_32_Port	SMT	RSTB	,	rl_A10_6_7	3542
A10_RSTB_33_Port	SMT	RSTB	,	rl_A10_6_7	4167
A10_RSTB_34_Port	SMT	RSTB	,	rl_A10_6_7	4792
A10_RSTB_35_Port	SMT	RSTB	,	rl_A10_6_7	5417
A10_RSTB_36_Port	SMT	RSTB	,	rl_A10_6_7	6042
A10_RSTB_37_Port	SMT	RSTB	,	rl_A10_6_7	6667
A10_RSTB_38_Port	SMT	RSTB	,	rl_A10_6_7	7292
A10_RSTB_39_Port	SMT	RSTB	,	rl_A10_6_7	7917
A10_RSTB_3_Port	SMT	RSTB	,	rl_A10_2_3	2292
A10_RSTB_40_Port	SMT	RSTB	,	rl_A10_6_7	8542
A10_RSTB_41_Port	SMT	RSTB	,	rl_A10_6_7	9167
A10_RSTB_42_Port	SMT	RSTB	,	rl_A10_6_7	9792
A10_RSTB_43_Port	SMT	RSTB	,	rl_A10_6_7	10417
A10_RSTB_44_Port	SMT	RSTB	,	rl_A10_6_7	11042
A10_RSTB_45_Port	SMT	RSTB	,	rl_A10_6_7	11667
A10_RSTB_46_Port	SMT	RSTB	,	rl_A10_6_7	12292
A10_RSTB_47_Port	SMT	RSTB	,	rl_A10_6_7	12917
A10_RSTB_48_Port	SMT	RSTB	,	rl_A10_8_9	1042
A10_RSTB_49_Port	SMT	RSTB	,	rl_A10_8_9	1667
A10_RSTB_4_Port	SMT	RSTB	,	rl_A10_2_3	2917
A10_RSTB_50_Port	SMT	RSTB	,	rl_A10_8_9	2292
A10_RSTB_51_Port	SMT	RSTB	,	rl_A10_8_9	2917
A10_RSTB_52_Port	SMT	RSTB	,	rl_A10_8_9	3542
A10_RSTB_53_Port	SMT	RSTB	,	rl_A10_8_9	4167
A10_RSTB_54_Port	SMT	RSTB	,	rl_A10_8_9	4792
A10_RSTB_55_Port	SMT	RSTB	,	rl_A10_8_9	5417
A10_RSTB_56_Port	SMT	RSTB	,	rl_A10_8_9	6042
A10_RSTB_57_Port	SMT	RSTB	,	rl_A10_8_9	6667
A10_RSTB_58_Port	SMT	RSTB	,	rl_A10_8_9	7292
A10_RSTB_59_Port	SMT	RSTB	,	rl_A10_8_9	7917
A10_RSTB_5_Port	SMT	RSTB	,	rl_A10_2_3	3542
A10_RSTB_60_Port	SMT	RSTB	,	rl_A10_8_9	8542
A10_RSTB_61_Port	SMT	RSTB	,	rl_A10_8_9	9167
A10_RSTB_62_Port	SMT	RSTB	,	rl_A10_8_9	9792
A10_RSTB_63_Port	SMT	RSTB	,	rl_A10_10_11	1042
A10_RSTB_64_Port	SMT	RSTB	,	rl_A10_10_11	1667
A10_RSTB_65_Port	SMT	RSTB	,	rl_A10_10_11	2292
A10_RSTB_66_Port	SMT	RSTB	,	rl_A10_10_11	2917
A10_RSTB_67_Port	SMT	RSTB	,	rl_A10_10_11	3542
A10_RSTB_68_Port	SMT	RSTB	,	rl_A10_10_11	4167
A10_RSTB_69_Port	SMT	RSTB	,	rl_A10_10_11	4792
A10_RSTB_6_Port	SMT	RSTB	,	rl_A10_2_3	4167
A10_RSTB_70_Port	SMT	RSTB	,	rl_A10_10_11	5417
A10_RSTB_71_Port	SMT	RSTB	,	rl_A10_10_11	6042
A10_RSTB_72_Port	SMT	RSTB	,	rl_A10_10_11	6667
A10_RSTB_73_Port	SMT	RSTB	,	rl_A10_10_11	7292
A10_RSTB_74_Port	SMT	RSTB	,	rl_A10_10_11	7917
A10_RSTB_75_Port	SMT	RSTB	,	rl_A10_16_17	1042
A10_RSTB_76_Port	SMT	RSTB	,	rl_A10_16_17	1667
A10_RSTB_77_Port	SMT	RSTB	,	rl_A10_16_17	2292
A10_RSTB_78_Port	SMT	RSTB	,	rl_A10_16_17	2917
A10_RSTB_79_Port	SMT	RSTB	,	rl_A10_16_17	3542
A10_RSTB_7_Port	SMT	RSTB	,	rl_A10_2_3	4792
A10_RSTB_80_Port	SMT	RSTB	,	rl_A10_16_17	4167
A10_RSTB_81_Port	SMT	RSTB	,	rl_A10_16_17	4792
A10_RSTB_82_Port	SMT	RSTB	,	rl_A10_16_17	5417
A10_RSTB_83_Port	SMT	RSTB	,	rl_A10_16_17	6042
A10_RSTB_84_Port	SMT	RSTB	,	rl_A10_16_17	6667
A10_RSTB_85_Port	SMT	RSTB	,	rl_A10_16_17	7292
A10_RSTB_86_Port	SMT	RSTB	,	rl_A10_16_17	7917
A10_RSTB_87_Port	SMT	RSTB	,	rl_A10_18_19	1042
A10_RSTB_88_Port	SMT	RSTB	,	rl_A10_18_19	1667
A10_RSTB_89_Port	SMT	RSTB	,	rl_A10_18_19	2292
A10_RSTB_8_Port	SMT	RSTB	,	rl_A10_2_3	5417
A10_RSTB_90_Port	SMT	RSTB	,	rl_A10_18_19	2917
A10_RSTB_91_Port	SMT	RSTB	,	rl_A10_18_19	3542
A10_RSTB_92_Port	SMT	RSTB	,	rl_A10_18_19	4167
A10_RSTB_93_Port	SMT	RSTB	,	rl_A10_18_19	4792
A10_RSTB_94_Port	SMT	RSTB	,	rl_A10_18_19	5417
A10_RSTB_95_Port	SMT	RSTB	,	rl_A10_18_19	6042
A10_RSTB_96_Port	SMT	RSTB	,	rl_A10_18_19	6667
A10_RSTB_97_Port	SMT	RSTB	,	rl_A10_18_19	7292
A10_RSTB_98_Port	SMT	RSTB	,	rl_A10_18_19	7917
A10_RSTB_99_Port	SMT	RSTB	,	rl_A10_18_19	8542
A10_RSTB_9_Port	SMT	RSTB	,	rl_A10_2_3	6042
A10_UTB_100_Port	SMT	UTB	,	rl_A10_18_19	9167
A10_UTB_101_Port	SMT	UTB	,	rl_A10_18_19	9792
A10_UTB_102_Port	SMT	UTB	,	rl_A10_20_21	1042
A10_UTB_103_Port	SMT	UTB	,	rl_A10_20_21	1667
A10_UTB_104_Port	SMT	UTB	,	rl_A10_20_21	2292
A10_UTB_105_Port	SMT	UTB	,	rl_A10_20_21	2917
A10_UTB_106_Port	SMT	UTB	,	rl_A10_20_21	3542
A10_UTB_107_Port	SMT	UTB	,	rl_A10_20_21	4167
A10_UTB_108_Port	SMT	UTB	,	rl_A10_20_21	4792
A10_UTB_109_Port	SMT	UTB	,	rl_A10_20_21	5417
A10_UTB_10_Port	SMT	UTB	,	rl_A10_2_3	6667
A10_UTB_110_Port	SMT	UTB	,	rl_A10_20_21	6042
A10_UTB_111_Port	SMT	UTB	,	rl_A10_20_21	6667
A10_UTB_112_Port	SMT	UTB	,	rl_A10_20_21	7292
A10_UTB_113_Port	SMT	UTB	,	rl_A10_20_21	7917
A10_UTB_114_Port	SMT	UTB	,	rl_A10_20_21	8542
A10_UTB_115_Port	SMT	UTB	,	rl_A10_20_21	9167
A10_UTB_116_Port	SMT	UTB	,	rl_A10_20_21	9792
A10_UTB_117_Port	SMT	UTB	,	rl_A10_20_21	10417
A10_UTB_118_Port	SMT	UTB	,	rl_A10_20_21	11042
A10_UTB_119_Port	SMT	UTB	,	rl_A10_20_21	11667
A10_UTB_11_Port	SMT	UTB	,	rl_A10_2_3	7292
A10_UTB_120_Port	SMT	UTB	,	rl_A10_20_21	12292
A10_UTB_121_Port	SMT	UTB	,	rl_A10_20_21	12917
A10_UTB_122_Port	SMT	UTB	,	rl_A10_22_23	1042
A10_UTB_123_Port	SMT	UTB	,	rl_A10_22_23	1667
A10_UTB_124_Port	SMT	UTB	,	rl_A10_22_23	2292
A10_UTB_125_Port	SMT	UTB	,	rl_A10_22_23	2917
A10_UTB_126_Port	SMT	UTB	,	rl_A10_22_23	3542
A10_UTB_127_Port	SMT	UTB	,	rl_A10_22_23	4167
A10_UTB_128_Port	SMT	UTB	,	rl_A10_22_23	4792
A10_UTB_129_Port	SMT	UTB	,	rl_A10_22_23	5417
A10_UTB_12_Port	SMT	UTB	,	rl_A10_2_3	7917
A10_UTB_130_Port	SMT	UTB	,	rl_A10_22_23	6042
A10_UTB_131_Port	SMT	UTB	,	rl_A10_22_23	6667
A10_UTB_132_Port	SMT	UTB	,	rl_A10_22_23	7292
A10_UTB_133_Port	SMT	UTB	,	rl_A10_22_23	7917
A10_UTB_134_Port	SMT	UTB	,	rl_A10_22_23	8542
A10_UTB_135_Port	SMT	UTB	,	rl_A10_22_23	9167
A10_UTB_136_Port	SMT	UTB	,	rl_A10_22_23	9792
A10_UTB_137_Port	SMT	UTB	,	rl_A10_24_25	1042
A10_UTB_138_Port	SMT	UTB	,	rl_A10_24_25	1667
A10_UTB_139_Port	SMT	UTB	,	rl_A10_24_25	2292
A10_UTB_13_Port	SMT	UTB	,	rl_A10_4_5	1042
A10_UTB_140_Port	SMT	UTB	,	rl_A10_24_25	2917
A10_UTB_141_Port	SMT	UTB	,	rl_A10_24_25	3542
A10_UTB_142_Port	SMT	UTB	,	rl_A10_24_25	4167
A10_UTB_143_Port	SMT	UTB	,	rl_A10_24_25	4792
A10_UTB_144_Port	SMT	UTB	,	rl_A10_24_25	5417
A10_UTB_145_Port	SMT	UTB	,	rl_A10_24_25	6042
A10_UTB_146_Port	SMT	UTB	,	rl_A10_24_25	6667
A10_UTB_147_Port	SMT	UTB	,	rl_A10_24_25	7292
A10_UTB_148_Port	SMT	UTB	,	rl_A10_24_25	7917
A10_UTB_14_Port	SMT	UTB	,	rl_A10_4_5	1667
A10_UTB_15_Port	SMT	UTB	,	rl_A10_4_5	2292
A10_UTB_16_Port	SMT	UTB	,	rl_A10_4_5	2917
A10_UTB_17_Port	SMT	UTB	,	rl_A10_4_5	3542
A10_UTB_18_Port	SMT	UTB	,	rl_A10_4_5	4167
A10_UTB_19_Port	SMT	UTB	,	rl_A10_4_5	4792
A10_UTB_1_Port	SMT	UTB	,	rl_A10_2_3	1042
A10_UTB_20_Port	SMT	UTB	,	rl_A10_4_5	5417
A10_UTB_21_Port	SMT	UTB	,	rl_A10_4_5	6042
A10_UTB_22_Port	SMT	UTB	,	rl_A10_4_5	6667
A10_UTB_23_Port	SMT	UTB	,	rl_A10_4_5	7292
A10_UTB_24_Port	SMT	UTB	,	rl_A10_4_5	7917
A10_UTB_25_Port	SMT	UTB	,	rl_A10_4_5	8542
A10_UTB_26_Port	SMT	UTB	,	rl_A10_4_5	9167
A10_UTB_27_Port	SMT	UTB	,	rl_A10_4_5	9792
A10_UTB_28_Port	SMT	UTB	,	rl_A10_6_7	1042
A10_UTB_29_Port	SMT	UTB	,	rl_A10_6_7	1667
A10_UTB_2_Port	SMT	UTB	,	rl_A10_2_3	1667
A10_UTB_30_Port	SMT	UTB	,	rl_A10_6_7	2292
A10_UTB_31_Port	SMT	UTB	,	rl_A10_6_7	2917
A10_UTB_32_Port	SMT	UTB	,	rl_A10_6_7	3542
A10_UTB_33_Port	SMT	UTB	,	rl_A10_6_7	4167
A10_UTB_34_Port	SMT	UTB	,	rl_A10_6_7	4792
A10_UTB_35_Port	SMT	UTB	,	rl_A10_6_7	5417
A10_UTB_36_Port	SMT	UTB	,	rl_A10_6_7	6042
A10_UTB_37_Port	SMT	UTB	,	rl_A10_6_7	6667
A10_UTB_38_Port	SMT	UTB	,	rl_A10_6_7	7292
A10_UTB_39_Port	SMT	UTB	,	rl_A10_6_7	7917
A10_UTB_3_Port	SMT	UTB	,	rl_A10_2_3	2292
A10_UTB_40_Port	SMT	UTB	,	rl_A10_6_7	8542
A10_UTB_41_Port	SMT	UTB	,	rl_A10_6_7	9167
