NAME	FAB_NAME	POSITION_X	POSITION_Y	ZCU_NAME	ZCU_TYPE
rn_A11_16	SMT	161121.2598	135208.3333	ZCU_A11_7	RESET
rn_A11_17	SMT	161121.2598	126041.6667	ZCU_A11_8	STOP
rn_A11_18	SMT	161121.2598	124791.6667	ZCU_A11_8	RESET
rn_A11_19	SMT	161121.2598	113541.6667	ZCU_A11_9	STOP
rn_A11_2	SMT	154330.7087	75208.33333	ZCU_A11_1	RESET
rn_A11_20	SMT	161121.2598	112291.6667	ZCU_A11_9	RESET
rn_A11_21	SMT	161121.2598	98125	ZCU_A11_10	STOP
rn_A11_22	SMT	161121.2598	96875	ZCU_A11_10	RESET
rn_A11_23	SMT	161121.2598	85625	ZCU_A11_11	STOP
rn_A11_24	SMT	161121.2598	84375	ZCU_A11_11	RESET
rn_A11_25	SMT	161121.2598	75208.33333	ZCU_A11_12	STOP
rn_A11_26	SMT	161121.2598	73958.33333	ZCU_A11_12	NONE
rn_A11_27	SMT	159269.2913	73958.33333	ZCU_A11_12	RESET
rn_A11_28	SMT	156182.6772	73958.33333	ZCU_A11_1	STOP
rn_A11_29	SMT	156182.6772	98125	ZCU_A11_3	RESET
rn_A11_3	SMT	154330.7087	84375	ZCU_A11_2	STOP
rn_A11_30	SMT	159269.2913	98125	ZCU_A11_10	STOP
rn_A11_31	SMT	159269.2913	112291.6667	ZCU_A11_9	RESET
rn_A11_32	SMT	156182.6772	112291.6667	ZCU_A11_4	STOP
rn_A11_33	SMT	152815.4617	126041.6667	ZCU_A11_5	RESET
rn_A11_34	SMT	147512.0974	126041.6667	ZCU_A10_8	STOP
rn_A11_35	SMT	162636.5068	84375	ZCU_A11_11	RESET
rn_A11_36	SMT	167939.8711	84375	ZCU_A12_2	STOP
rn_A11_4	SMT	154330.7087	85625	ZCU_A11_2	RESET
rn_A11_5	SMT	154330.7087	96875	ZCU_A11_3	STOP
rn_A11_6	SMT	154330.7087	98125	ZCU_A11_3	RESET
rn_A11_7	SMT	154330.7087	112291.6667	ZCU_A11_4	STOP
rn_A11_8	SMT	154330.7087	113541.6667	ZCU_A11_4	RESET
rn_A11_9	SMT	154330.7087	124791.6667	ZCU_A11_5	STOP
rn_A12_1	SMT	169455.1181	73958.33333	ZCU_A12_1	NONE
rn_A12_10	SMT	169455.1181	126041.6667	ZCU_A12_5	RESET
rn_A12_11	SMT	169455.1181	135208.3333	ZCU_A12_6	STOP
rn_A12_12	SMT	169455.1181	136458.3333	ZCU_A12_6	NONE
rn_A12_13	SMT	171307.0866	136458.3333	ZCU_A12_6	RESET
rn_A12_14	SMT	174393.7007	136458.3333	ZCU_A12_7	STOP
rn_A12_15	SMT	176245.6693	136458.3333	ZCU_A12_7	NONE
rn_A12_16	SMT	176245.6693	135208.3333	ZCU_A12_7	RESET
rn_A12_17	SMT	176245.6693	126041.6667	ZCU_A12_8	STOP
rn_A12_18	SMT	176245.6693	124791.6667	ZCU_A12_8	RESET
rn_A12_19	SMT	176245.6693	113541.6667	ZCU_A12_9	STOP
rn_A12_2	SMT	169455.1181	75208.33333	ZCU_A12_1	RESET
rn_A12_20	SMT	176245.6693	112291.6667	ZCU_A12_9	RESET
rn_A12_21	SMT	176245.6693	98125	ZCU_A12_10	STOP
rn_A12_22	SMT	176245.6693	96875	ZCU_A12_10	RESET
rn_A12_23	SMT	176245.6693	85625	ZCU_A12_11	STOP
rn_A12_24	SMT	176245.6693	84375	ZCU_A12_11	RESET
rn_A12_25	SMT	176245.6693	75208.33333	ZCU_A12_12	STOP
rn_A12_26	SMT	176245.6693	73958.33333	ZCU_A12_12	NONE
rn_A12_27	SMT	174393.7007	73958.33333	ZCU_A12_12	RESET
rn_A12_28	SMT	171307.0866	73958.33333	ZCU_A12_1	STOP
rn_A12_29	SMT	171307.0866	98125	ZCU_A12_3	RESET
rn_A12_3	SMT	169455.1181	84375	ZCU_A12_2	STOP
rn_A12_30	SMT	174393.7007	98125	ZCU_A12_10	STOP
rn_A12_31	SMT	174393.7007	112291.6667	ZCU_A12_9	RESET
rn_A12_32	SMT	171307.0866	112291.6667	ZCU_A12_4	STOP
rn_A12_33	SMT	167939.8711	126041.6667	ZCU_A12_5	RESET
rn_A12_34	SMT	162636.5068	126041.6667	ZCU_A11_8	STOP
rn_A12_35	SMT	177760.9162	84375	ZCU_A12_11	RESET
rn_A12_36	SMT	183064.2806	84375	ZCU_A13_2	STOP
rn_A12_4	SMT	169455.1181	85625	ZCU_A12_2	RESET
rn_A12_5	SMT	169455.1181	96875	ZCU_A12_3	STOP
rn_A12_6	SMT	169455.1181	98125	ZCU_A12_3	RESET
rn_A12_7	SMT	169455.1181	112291.6667	ZCU_A12_4	STOP
rn_A12_8	SMT	169455.1181	113541.6667	ZCU_A12_4	RESET
rn_A12_9	SMT	169455.1181	124791.6667	ZCU_A12_5	STOP
rn_A13_1	SMT	184579.5275	73958.33333	ZCU_A13_1	NONE
rn_A13_10	SMT	184579.5275	126041.6667	ZCU_A13_5	RESET
rn_A13_11	SMT	184579.5275	135208.3333	ZCU_A13_6	STOP
rn_A13_12	SMT	184579.5275	136458.3333	ZCU_A13_6	NONE
rn_A13_13	SMT	186431.496	136458.3333	ZCU_A13_6	RESET
rn_A13_14	SMT	189518.1103	136458.3333	ZCU_A13_7	STOP
rn_A13_15	SMT	191370.0788	136458.3333	ZCU_A13_7	NONE
rn_A13_16	SMT	191370.0788	135208.3333	ZCU_A13_7	RESET
rn_A13_17	SMT	191370.0788	126041.6667	ZCU_A13_8	STOP
rn_A13_18	SMT	191370.0788	124791.6667	ZCU_A13_8	RESET
rn_A13_19	SMT	191370.0788	113541.6667	ZCU_A13_9	STOP
rn_A13_2	SMT	184579.5275	75208.33333	ZCU_A13_1	RESET
rn_A13_20	SMT	191370.0788	112291.6667	ZCU_A13_9	RESET
rn_A13_21	SMT	191370.0788	98125	ZCU_A13_10	STOP
rn_A13_22	SMT	191370.0788	96875	ZCU_A13_10	RESET
rn_A13_23	SMT	191370.0788	85625	ZCU_A13_11	STOP
rn_A13_24	SMT	191370.0788	84375	ZCU_A13_11	RESET
rn_A13_25	SMT	191370.0788	75208.33333	ZCU_A13_12	STOP
rn_A13_26	SMT	191370.0788	73958.33333	ZCU_A13_12	NONE
rn_A13_27	SMT	189518.1103	73958.33333	ZCU_A13_12	RESET
rn_A13_28	SMT	186431.496	73958.33333	ZCU_A13_1	STOP
rn_A13_29	SMT	186431.496	98125	ZCU_A13_3	RESET
rn_A13_3	SMT	184579.5275	84375	ZCU_A13_2	STOP
rn_A13_30	SMT	189518.1103	98125	ZCU_A13_10	STOP
rn_A13_31	SMT	189518.1103	112291.6667	ZCU_A13_9	RESET
rn_A13_32	SMT	186431.496	112291.6667	ZCU_A13_4	STOP
rn_A13_33	SMT	183064.2806	126041.6667	ZCU_A13_5	RESET
rn_A13_34	SMT	177760.9162	126041.6667	ZCU_A12_8	STOP
rn_A13_35	SMT	192885.3257	84375	ZCU_A13_11	RESET
rn_A13_36	SMT	198188.6901	84375	ZCU_A14_2	STOP
rn_A13_4	SMT	184579.5275	85625	ZCU_A13_2	RESET
rn_A13_5	SMT	184579.5275	96875	ZCU_A13_3	STOP
rn_A13_6	SMT	184579.5275	98125	ZCU_A13_3	RESET
rn_A13_7	SMT	184579.5275	112291.6667	ZCU_A13_4	STOP
rn_A13_8	SMT	184579.5275	113541.6667	ZCU_A13_4	RESET
rn_A13_9	SMT	184579.5275	124791.6667	ZCU_A13_5	STOP
rn_A14_1	SMT	199703.937	73958.33333	ZCU_A14_1	NONE
rn_A14_10	SMT	199703.937	126041.6667	ZCU_A14_5	RESET
rn_A14_11	SMT	199703.937	135208.3333	ZCU_A14_6	STOP
rn_A14_12	SMT	199703.937	136458.3333	ZCU_A14_6	NONE
rn_A14_13	SMT	201555.9056	136458.3333	ZCU_A14_6	RESET
rn_A14_14	SMT	204642.5197	136458.3333	ZCU_A14_7	STOP
rn_A14_15	SMT	206494.4882	136458.3333	ZCU_A14_7	NONE
rn_A14_16	SMT	206494.4882	135208.3333	ZCU_A14_7	RESET
rn_A14_17	SMT	206494.4882	126041.6667	ZCU_A14_8	STOP
rn_A14_18	SMT	206494.4882	124791.6667	ZCU_A14_8	RESET
rn_A14_19	SMT	206494.4882	113541.6667	ZCU_A14_9	STOP
rn_A14_2	SMT	199703.937	75208.33333	ZCU_A14_1	RESET
rn_A14_20	SMT	206494.4882	112291.6667	ZCU_A14_9	RESET
rn_A14_21	SMT	206494.4882	98125	ZCU_A14_10	STOP
rn_A14_22	SMT	206494.4882	96875	ZCU_A14_10	RESET
rn_A14_23	SMT	206494.4882	85625	ZCU_A14_11	STOP
rn_A14_24	SMT	206494.4882	84375	ZCU_A14_11	RESET
rn_A14_25	SMT	206494.4882	75208.33333	ZCU_A14_12	STOP
rn_A14_26	SMT	206494.4882	73958.33333	ZCU_A14_12	NONE
rn_A14_27	SMT	204642.5197	73958.33333	ZCU_A14_12	RESET
rn_A14_28	SMT	201555.9056	73958.33333	ZCU_A14_1	STOP
rn_A14_29	SMT	201555.9056	98125	ZCU_A14_3	RESET
rn_A14_3	SMT	199703.937	84375	ZCU_A14_2	STOP
rn_A14_30	SMT	204642.5197	98125	ZCU_A14_10	STOP
rn_A14_31	SMT	204642.5197	112291.6667	ZCU_A14_9	RESET
rn_A14_32	SMT	201555.9056	112291.6667	ZCU_A14_4	STOP
rn_A14_33	SMT	198188.6901	126041.6667	ZCU_A14_5	RESET
rn_A14_34	SMT	192885.3257	126041.6667	ZCU_A13_8	STOP
rn_A14_35	SMT	208009.7352	84375	ZCU_A14_11	RESET
rn_A14_36	SMT	213313.0995	84375	ZCU_A15_2	STOP
rn_A14_4	SMT	199703.937	85625	ZCU_A14_2	RESET
rn_A14_5	SMT	199703.937	96875	ZCU_A14_3	STOP
rn_A14_6	SMT	199703.937	98125	ZCU_A14_3	RESET
rn_A14_7	SMT	199703.937	112291.6667	ZCU_A14_4	STOP
rn_A14_8	SMT	199703.937	113541.6667	ZCU_A14_4	RESET
rn_A14_9	SMT	199703.937	124791.6667	ZCU_A14_5	STOP
rn_A15_1	SMT	214828.3465	73958.33333	ZCU_A15_1	NONE
rn_A15_10	SMT	214828.3465	126041.6667	ZCU_A15_5	RESET
rn_A15_11	SMT	214828.3465	135208.3333	ZCU_A15_6	STOP
rn_A15_12	SMT	214828.3465	136458.3333	ZCU_A15_6	NONE
rn_A15_13	SMT	216680.315	136458.3333	ZCU_A15_6	RESET
rn_A15_14	SMT	219766.9291	136458.3333	ZCU_A15_7	STOP
rn_A15_15	SMT	221618.8976	136458.3333	ZCU_A15_7	NONE
rn_A15_16	SMT	221618.8976	135208.3333	ZCU_A15_7	RESET
rn_A15_17	SMT	221618.8976	126041.6667	ZCU_A15_8	STOP
rn_A15_18	SMT	221618.8976	124791.6667	ZCU_A15_8	RESET
rn_A15_19	SMT	221618.8976	113541.6667	ZCU_A15_9	STOP
rn_A15_2	SMT	214828.3465	75208.33333	ZCU_A15_1	RESET
rn_A15_20	SMT	221618.8976	112291.6667	ZCU_A15_9	RESET
rn_A15_21	SMT	221618.8976	98125	ZCU_A15_10	STOP
rn_A15_22	SMT	221618.8976	96875	ZCU_A15_10	RESET
rn_A15_23	SMT	221618.8976	85625	ZCU_A15_11	STOP
rn_A15_24	SMT	221618.8976	84375	ZCU_A15_11	RESET
rn_A15_25	SMT	221618.8976	75208.33333	ZCU_A15_12	STOP
rn_A15_26	SMT	221618.8976	73958.33333	ZCU_A15_12	NONE
rn_A15_27	SMT	219766.9291	73958.33333	ZCU_A15_12	RESET
rn_A15_28	SMT	216680.315	73958.33333	ZCU_A15_1	STOP
rn_A15_29	SMT	216680.315	98125	ZCU_A15_3	RESET
rn_A15_3	SMT	214828.3465	84375	ZCU_A15_2	STOP
rn_A15_30	SMT	219766.9291	98125	ZCU_A15_10	STOP
rn_A15_31	SMT	219766.9291	112291.6667	ZCU_A15_9	RESET
rn_A15_32	SMT	216680.315	112291.6667	ZCU_A15_4	STOP
rn_A15_33	SMT	213313.0995	126041.6667	ZCU_A15_5	RESET
rn_A15_34	SMT	208009.7352	126041.6667	ZCU_A14_8	STOP
rn_A15_35	SMT	223134.1446	84375	ZCU_A15_11	RESET
rn_A15_36	SMT	228437.5089	84375	ZCU_A16_2	STOP
rn_A15_4	SMT	214828.3465	85625	ZCU_A15_2	RESET
rn_A15_5	SMT	214828.3465	96875	ZCU_A15_3	STOP
rn_A15_6	SMT	214828.3465	98125	ZCU_A15_3	RESET
rn_A15_7	SMT	214828.3465	112291.6667	ZCU_A15_4	STOP
rn_A15_8	SMT	214828.3465	113541.6667	ZCU_A15_4	RESET
rn_A15_9	SMT	214828.3465	124791.6667	ZCU_A15_5	STOP
rn_A16_1	SMT	229952.7559	73958.33333	ZCU_A16_1	NONE
rn_A16_10	SMT	229952.7559	126041.6667	ZCU_A16_5	RESET
rn_A16_11	SMT	229952.7559	135208.3333	ZCU_A16_6	STOP
rn_A16_12	SMT	229952.7559	136458.3333	ZCU_A16_6	NONE
rn_A16_13	SMT	231804.7244	136458.3333	ZCU_A16_6	RESET
rn_A16_14	SMT	234891.3386	136458.3333	ZCU_A16_7	STOP
rn_A16_15	SMT	236743.3071	136458.3333	ZCU_A16_7	NONE
rn_A16_16	SMT	236743.3071	135208.3333	ZCU_A16_7	RESET
rn_A16_17	SMT	236743.3071	126041.6667	ZCU_A16_8	STOP
rn_A16_18	SMT	236743.3071	124791.6667	ZCU_A16_8	RESET
rn_A16_19	SMT	236743.3071	113541.6667	ZCU_A16_9	STOP
rn_A16_2	SMT	229952.7559	75208.33333	ZCU_A16_1	RESET
rn_A16_20	SMT	236743.3071	112291.6667	ZCU_A16_9	RESET
rn_A16_21	SMT	236743.3071	98125	ZCU_A16_10	STOP
rn_A16_22	SMT	236743.3071	96875	ZCU_A16_10	RESET
rn_A16_23	SMT	236743.3071	85625	ZCU_A16_11	STOP
rn_A16_24	SMT	236743.3071	84375	ZCU_A16_11	RESET
rn_A16_25	SMT	236743.3071	75208.33333	ZCU_A16_12	STOP
rn_A16_26	SMT	236743.3071	73958.33333	ZCU_A16_12	NONE
rn_A16_27	SMT	234891.3386	73958.33333	ZCU_A16_12	RESET
rn_A16_28	SMT	231804.7244	73958.33333	ZCU_A16_1	STOP
rn_A16_29	SMT	231804.7244	98125	ZCU_A16_3	RESET
rn_A16_3	SMT	229952.7559	84375	ZCU_A16_2	STOP
rn_A16_30	SMT	234891.3386	98125	ZCU_A16_10	STOP
rn_A16_31	SMT	234891.3386	112291.6667	ZCU_A16_9	RESET
rn_A16_32	SMT	231804.7244	112291.6667	ZCU_A16_4	STOP
rn_A16_33	SMT	228437.5089	126041.6667	ZCU_A16_5	RESET
rn_A16_34	SMT	223134.1446	126041.6667	ZCU_A15_8	STOP
rn_A16_35	SMT	238258.5541	84375	ZCU_A16_11	RESET
rn_A16_36	SMT	243561.9184	84375	ZCU_A17_2	STOP
rn_A16_4	SMT	229952.7559	85625	ZCU_A16_2	RESET
rn_A16_5	SMT	229952.7559	96875	ZCU_A16_3	STOP
rn_A16_6	SMT	229952.7559	98125	ZCU_A16_3	RESET
rn_A16_7	SMT	229952.7559	112291.6667	ZCU_A16_4	STOP
rn_A16_8	SMT	229952.7559	113541.6667	ZCU_A16_4	RESET
rn_A16_9	SMT	229952.7559	124791.6667	ZCU_A16_5	STOP
rn_A17_1	SMT	245077.1654	73958.33333	ZCU_A17_1	NONE
rn_A17_10	SMT	245077.1654	126041.6667	ZCU_A17_5	RESET
rn_A17_11	SMT	245077.1654	135208.3333	ZCU_A17_6	STOP
rn_A17_12	SMT	245077.1654	136458.3333	ZCU_A17_6	NONE
rn_A17_13	SMT	246929.1339	136458.3333	ZCU_A17_6	RESET
rn_A17_14	SMT	250015.748	136458.3333	ZCU_A17_7	STOP
rn_A17_15	SMT	251867.7165	136458.3333	ZCU_A17_7	NONE
rn_A17_16	SMT	251867.7165	135208.3333	ZCU_A17_7	RESET
rn_A17_17	SMT	251867.7165	126041.6667	ZCU_A17_8	STOP
rn_A17_18	SMT	251867.7165	124791.6667	ZCU_A17_8	RESET
rn_A17_19	SMT	251867.7165	113541.6667	ZCU_A17_9	STOP
rn_A17_2	SMT	245077.1654	75208.33333	ZCU_A17_1	RESET
rn_A17_20	SMT	251867.7165	112291.6667	ZCU_A17_9	RESET
rn_A17_21	SMT	251867.7165	98125	ZCU_A17_10	STOP
rn_A17_22	SMT	251867.7165	96875	ZCU_A17_10	RESET
rn_A17_23	SMT	251867.7165	85625	ZCU_A17_11	STOP
rn_A17_24	SMT	251867.7165	84375	ZCU_A17_11	RESET
rn_A17_25	SMT	251867.7165	75208.33333	ZCU_A17_12	STOP
rn_A17_26	SMT	251867.7165	73958.33333	ZCU_A17_12	NONE
rn_A17_27	SMT	250015.748	73958.33333	ZCU_A17_12	RESET
rn_A17_28	SMT	246929.1339	73958.33333	ZCU_A17_1	STOP
rn_A17_29	SMT	246929.1339	98125	ZCU_A17_3	RESET
rn_A17_3	SMT	245077.1654	84375	ZCU_A17_2	STOP
rn_A17_30	SMT	250015.748	98125	ZCU_A17_10	STOP
rn_A17_31	SMT	250015.748	112291.6667	ZCU_A17_9	RESET
rn_A17_32	SMT	246929.1339	112291.6667	ZCU_A17_4	STOP
rn_A17_33	SMT	243561.9184	126041.6667	ZCU_A17_5	RESET
rn_A17_34	SMT	238258.5541	126041.6667	ZCU_A16_8	STOP
rn_A17_35	SMT	253382.9635	84375	ZCU_A17_11	RESET
rn_A17_36	SMT	258686.3278	84375	ZCU_A18_2	STOP
rn_A17_4	SMT	245077.1654	85625	ZCU_A17_2	RESET
rn_A17_5	SMT	245077.1654	96875	ZCU_A17_3	STOP
rn_A17_6	SMT	245077.1654	98125	ZCU_A17_3	RESET
rn_A17_7	SMT	245077.1654	112291.6667	ZCU_A17_4	STOP
rn_A17_8	SMT	245077.1654	113541.6667	ZCU_A17_4	RESET
rn_A17_9	SMT	245077.1654	124791.6667	ZCU_A17_5	STOP
rn_A18_1	SMT	260201.5748	73958.33333	ZCU_A18_1	NONE
rn_A18_10	SMT	260201.5748	126041.6667	ZCU_A18_5	RESET
rn_A18_11	SMT	260201.5748	135208.3333	ZCU_A18_6	STOP
rn_A18_12	SMT	260201.5748	136458.3333	ZCU_A18_6	NONE
rn_A18_13	SMT	262053.5433	136458.3333	ZCU_A18_6	RESET
rn_A18_14	SMT	265140.1574	136458.3333	ZCU_A18_7	STOP
rn_A18_15	SMT	266992.1259	136458.3333	ZCU_A18_7	NONE
rn_A18_16	SMT	266992.1259	135208.3333	ZCU_A18_7	RESET
rn_A18_17	SMT	266992.1259	126041.6667	ZCU_A18_8	STOP
rn_A18_18	SMT	266992.1259	124791.6667	ZCU_A18_8	RESET
rn_A18_19	SMT	266992.1259	113541.6667	ZCU_A18_9	STOP
rn_A18_2	SMT	260201.5748	75208.33333	ZCU_A18_1	RESET
rn_A18_20	SMT	266992.1259	112291.6667	ZCU_A18_9	RESET
rn_A18_21	SMT	266992.1259	98125	ZCU_A18_10	STOP
rn_A18_22	SMT	266992.1259	96875	ZCU_A18_10	RESET
rn_A18_23	SMT	266992.1259	85625	ZCU_A18_11	STOP
rn_A18_24	SMT	266992.1259	84375	ZCU_A18_11	RESET
rn_A18_25	SMT	266992.1259	75208.33333	ZCU_A18_12	STOP
rn_A18_26	SMT	266992.1259	73958.33333	ZCU_A18_12	NONE
rn_A18_27	SMT	265140.1574	73958.33333	ZCU_A18_12	RESET
rn_A18_28	SMT	262053.5433	73958.33333	ZCU_A18_1	STOP
rn_A18_29	SMT	262053.5433	98125	ZCU_A18_3	RESET
rn_A18_3	SMT	260201.5748	84375	ZCU_A18_2	STOP
rn_A18_30	SMT	265140.1574	98125	ZCU_A18_10	STOP
rn_A18_31	SMT	265140.1574	112291.6667	ZCU_A18_9	RESET
rn_A18_32	SMT	262053.5433	112291.6667	ZCU_A18_4	STOP
rn_A18_33	SMT	258686.3278	126041.6667	ZCU_A18_5	RESET
rn_A18_34	SMT	253382.9635	126041.6667	ZCU_A17_8	STOP
rn_A18_35	SMT	268507.3729	84375	ZCU_A18_11	RESET
rn_A18_36	SMT	273810.7372	84375	ZCU_A19_2	STOP
rn_A18_4	SMT	260201.5748	85625	ZCU_A18_2	RESET
rn_A18_5	SMT	260201.5748	96875	ZCU_A18_3	STOP
rn_A18_6	SMT	260201.5748	98125	ZCU_A18_3	RESET
rn_A18_7	SMT	260201.5748	112291.6667	ZCU_A18_4	STOP
rn_A18_8	SMT	260201.5748	113541.6667	ZCU_A18_4	RESET
rn_A18_9	SMT	260201.5748	124791.6667	ZCU_A18_5	STOP
rn_A19_1	SMT	275325.9842	73958.33333	ZCU_A19_1	NONE
rn_A19_10	SMT	275325.9842	126041.6667	ZCU_A19_5	RESET
rn_A19_11	SMT	275325.9842	135208.3333	ZCU_A19_6	STOP
rn_A19_12	SMT	275325.9842	136458.3333	ZCU_A19_6	NONE
rn_A19_13	SMT	277177.9527	136458.3333	ZCU_A19_6	RESET
rn_A19_14	SMT	280264.567	136458.3333	ZCU_A19_7	STOP
rn_A19_15	SMT	282116.5355	136458.3333	ZCU_A19_7	NONE
rn_A19_16	SMT	282116.5355	135208.3333	ZCU_A19_7	RESET
rn_A19_17	SMT	282116.5355	126041.6667	ZCU_A19_8	STOP
rn_A19_18	SMT	282116.5355	124791.6667	ZCU_A19_8	RESET
rn_A19_19	SMT	282116.5355	113541.6667	ZCU_A19_9	STOP
rn_A19_2	SMT	275325.9842	75208.33333	ZCU_A19_1	RESET
rn_A19_20	SMT	282116.5355	112291.6667	ZCU_A19_9	RESET
rn_A19_21	SMT	282116.5355	98125	ZCU_A19_10	STOP
rn_A19_22	SMT	282116.5355	96875	ZCU_A19_10	RESET
rn_A19_23	SMT	282116.5355	85625	ZCU_A19_11	STOP
rn_A19_24	SMT	282116.5355	84375	ZCU_A19_11	RESET
rn_A19_25	SMT	282116.5355	75208.33333	ZCU_A19_12	STOP
rn_A19_26	SMT	282116.5355	73958.33333	ZCU_A19_12	NONE
rn_A19_27	SMT	280264.567	73958.33333	ZCU_A19_12	RESET
rn_A19_28	SMT	277177.9527	73958.33333	ZCU_A19_1	STOP
rn_A19_29	SMT	277177.9527	98125	ZCU_A19_3	RESET
rn_A19_3	SMT	275325.9842	84375	ZCU_A19_2	STOP
rn_A19_30	SMT	280264.567	98125	ZCU_A19_10	STOP
rn_A19_31	SMT	280264.567	112291.6667	ZCU_A19_9	RESET
rn_A19_32	SMT	277177.9527	112291.6667	ZCU_A19_4	STOP
rn_A19_33	SMT	273810.7372	126041.6667	ZCU_A19_5	RESET
rn_A19_34	SMT	268507.3729	126041.6667	ZCU_A18_8	STOP
rn_A19_35	SMT	283631.7824	84375	ZCU_A19_11	RESET
rn_A19_36	SMT	288935.1468	84375	ZCU_A20_2	STOP
rn_A19_4	SMT	275325.9842	85625	ZCU_A19_2	RESET
rn_A19_5	SMT	275325.9842	96875	ZCU_A19_3	STOP
rn_A19_6	SMT	275325.9842	98125	ZCU_A19_3	RESET
rn_A19_7	SMT	275325.9842	112291.6667	ZCU_A19_4	STOP
rn_A19_8	SMT	275325.9842	113541.6667	ZCU_A19_4	RESET
rn_A19_9	SMT	275325.9842	124791.6667	ZCU_A19_5	STOP
rn_A1_1	SMT	3086.614173	73958.33333	ZCU_A1_1	NONE
rn_A1_10	SMT	3086.614173	126041.6667	ZCU_A1_5	RESET
rn_A1_11	SMT	3086.614173	135208.3333	ZCU_A1_6	STOP
rn_A1_12	SMT	3086.614173	136458.3333	ZCU_A1_6	NONE
rn_A1_13	SMT	4938.582677	136458.3333	ZCU_A1_6	RESET
rn_A1_14	SMT	8025.196851	136458.3333	ZCU_A1_7	STOP
rn_A1_15	SMT	9877.165355	136458.3333	ZCU_A1_7	NONE
rn_A1_16	SMT	9877.165355	135208.3333	ZCU_A1_7	RESET
rn_A1_17	SMT	9877.165355	126041.6667	ZCU_A1_8	STOP
rn_A1_18	SMT	9877.165355	124791.6667	ZCU_A1_8	RESET
rn_A1_19	SMT	9877.165355	113541.6667	ZCU_A1_9	STOP
rn_A1_2	SMT	3086.614173	75208.33333	ZCU_A1_1	RESET
rn_A1_20	SMT	9877.165355	112291.6667	ZCU_A1_9	RESET
rn_A1_21	SMT	9877.165355	98125	ZCU_A1_10	STOP
rn_A1_22	SMT	9877.165355	96875	ZCU_A1_10	RESET
rn_A1_23	SMT	9877.165355	85625	ZCU_A1_11	STOP
