NAME	FAB_NAME	BAY_NAME	FROM_NODE	TO_NODE	MAX_SPEED	CURVE
rl_A13_26_InterBay2_219	SMT	InterBay2	rn_A13_26	rn_InterBay2_219	1	1
rl_A13_27_28	SMT	A13	rn_A13_27	rn_A13_28	1	0
rl_A13_28_2	SMT	A13	rn_A13_28	rn_A13_2	1	1
rl_A13_29_30	SMT	A13	rn_A13_29	rn_A13_30	1	0
rl_A13_2_3	SMT	A13	rn_A13_2	rn_A13_3	1	0
rl_A13_30_22	SMT	A13	rn_A13_30	rn_A13_22	1	1
rl_A13_31_32	SMT	A13	rn_A13_31	rn_A13_32	1	0
rl_A13_32_8	SMT	A13	rn_A13_32	rn_A13_8	1	1
rl_A13_33_34	SMT	A13	rn_A13_33	rn_A13_34	1	0
rl_A13_34_A12_18	SMT	A13	rn_A13_34	rn_A12_18	1	1
rl_A13_35_36	SMT	A13	rn_A13_35	rn_A13_36	1	0
rl_A13_36_A14_4	SMT	A13	rn_A13_36	rn_A14_4	1	1
rl_A13_3_4	SMT	A13	rn_A13_3	rn_A13_4	1	0
rl_A13_4_5	SMT	A13	rn_A13_4	rn_A13_5	1	0
rl_A13_5_29	SMT	A13	rn_A13_5	rn_A13_29	1	1
rl_A13_5_6	SMT	A13	rn_A13_5	rn_A13_6	1	0
rl_A13_6_7	SMT	A13	rn_A13_6	rn_A13_7	1	0
rl_A13_7_8	SMT	A13	rn_A13_7	rn_A13_8	1	0
rl_A13_8_9	SMT	A13	rn_A13_8	rn_A13_9	1	0
rl_A13_9_10	SMT	A13	rn_A13_9	rn_A13_10	1	0
rl_A13_9_33	SMT	A13	rn_A13_9	rn_A13_33	1	1
rl_A14_10_11	SMT	A14	rn_A14_10	rn_A14_11	1	0
rl_A14_11_12	SMT	A14	rn_A14_11	rn_A14_12	1	0
rl_A14_11_13	SMT	A14	rn_A14_11	rn_A14_13	1	1
rl_A14_12_InterBay3_10	SMT	InterBay3	rn_A14_12	rn_InterBay3_10	1	1
rl_A14_13_14	SMT	A14	rn_A14_13	rn_A14_14	1	0
rl_A14_14_16	SMT	A14	rn_A14_14	rn_A14_16	1	1
rl_A14_15_16	SMT	A14	rn_A14_15	rn_A14_16	1	0
rl_A14_16_17	SMT	A14	rn_A14_16	rn_A14_17	1	0
rl_A14_17_18	SMT	A14	rn_A14_17	rn_A14_18	1	0
rl_A14_18_19	SMT	A14	rn_A14_18	rn_A14_19	1	0
rl_A14_19_20	SMT	A14	rn_A14_19	rn_A14_20	1	0
rl_A14_19_31	SMT	A14	rn_A14_19	rn_A14_31	1	1
rl_A14_1_2	SMT	A14	rn_A14_1	rn_A14_2	1	0
rl_A14_20_21	SMT	A14	rn_A14_20	rn_A14_21	1	0
rl_A14_21_22	SMT	A14	rn_A14_21	rn_A14_22	1	0
rl_A14_22_23	SMT	A14	rn_A14_22	rn_A14_23	1	0
rl_A14_23_24	SMT	A14	rn_A14_23	rn_A14_24	1	0
rl_A14_23_35	SMT	A14	rn_A14_23	rn_A14_35	1	1
rl_A14_24_25	SMT	A14	rn_A14_24	rn_A14_25	1	0
rl_A14_25_26	SMT	A14	rn_A14_25	rn_A14_26	1	0
rl_A14_25_27	SMT	A14	rn_A14_25	rn_A14_27	1	1
rl_A14_26_InterBay2_211	SMT	InterBay2	rn_A14_26	rn_InterBay2_211	1	1
rl_A14_27_28	SMT	A14	rn_A14_27	rn_A14_28	1	0
rl_A14_28_2	SMT	A14	rn_A14_28	rn_A14_2	1	1
rl_A14_29_30	SMT	A14	rn_A14_29	rn_A14_30	1	0
rl_A14_2_3	SMT	A14	rn_A14_2	rn_A14_3	1	0
rl_A14_30_22	SMT	A14	rn_A14_30	rn_A14_22	1	1
rl_A14_31_32	SMT	A14	rn_A14_31	rn_A14_32	1	0
rl_A14_32_8	SMT	A14	rn_A14_32	rn_A14_8	1	1
rl_A14_33_34	SMT	A14	rn_A14_33	rn_A14_34	1	0
rl_A14_34_A13_18	SMT	A14	rn_A14_34	rn_A13_18	1	1
rl_A14_35_36	SMT	A14	rn_A14_35	rn_A14_36	1	0
rl_A14_36_A15_4	SMT	A14	rn_A14_36	rn_A15_4	1	1
rl_A14_3_4	SMT	A14	rn_A14_3	rn_A14_4	1	0
rl_A14_4_5	SMT	A14	rn_A14_4	rn_A14_5	1	0
rl_A14_5_29	SMT	A14	rn_A14_5	rn_A14_29	1	1
rl_A14_5_6	SMT	A14	rn_A14_5	rn_A14_6	1	0
rl_A14_6_7	SMT	A14	rn_A14_6	rn_A14_7	1	0
rl_A14_7_8	SMT	A14	rn_A14_7	rn_A14_8	1	0
rl_A14_8_9	SMT	A14	rn_A14_8	rn_A14_9	1	0
rl_A14_9_10	SMT	A14	rn_A14_9	rn_A14_10	1	0
rl_A14_9_33	SMT	A14	rn_A14_9	rn_A14_33	1	1
rl_A15_10_11	SMT	A15	rn_A15_10	rn_A15_11	1	0
rl_A15_11_12	SMT	A15	rn_A15_11	rn_A15_12	1	0
rl_A15_11_13	SMT	A15	rn_A15_11	rn_A15_13	1	1
rl_A15_12_InterBay3_19	SMT	InterBay3	rn_A15_12	rn_InterBay3_19	1	1
rl_A15_13_14	SMT	A15	rn_A15_13	rn_A15_14	1	0
rl_A15_14_16	SMT	A15	rn_A15_14	rn_A15_16	1	1
rl_A15_15_16	SMT	A15	rn_A15_15	rn_A15_16	1	0
rl_A15_16_17	SMT	A15	rn_A15_16	rn_A15_17	1	0
rl_A15_17_18	SMT	A15	rn_A15_17	rn_A15_18	1	0
rl_A15_18_19	SMT	A15	rn_A15_18	rn_A15_19	1	0
rl_A15_19_20	SMT	A15	rn_A15_19	rn_A15_20	1	0
rl_A15_19_31	SMT	A15	rn_A15_19	rn_A15_31	1	1
rl_A15_1_2	SMT	A15	rn_A15_1	rn_A15_2	1	0
rl_A15_20_21	SMT	A15	rn_A15_20	rn_A15_21	1	0
rl_A15_21_22	SMT	A15	rn_A15_21	rn_A15_22	1	0
rl_A15_22_23	SMT	A15	rn_A15_22	rn_A15_23	1	0
rl_A15_23_24	SMT	A15	rn_A15_23	rn_A15_24	1	0
rl_A15_23_35	SMT	A15	rn_A15_23	rn_A15_35	1	1
rl_A15_24_25	SMT	A15	rn_A15_24	rn_A15_25	1	0
rl_A15_25_26	SMT	A15	rn_A15_25	rn_A15_26	1	0
rl_A15_25_27	SMT	A15	rn_A15_25	rn_A15_27	1	1
rl_A15_26_InterBay2_203	SMT	InterBay2	rn_A15_26	rn_InterBay2_203	1	1
rl_A15_27_28	SMT	A15	rn_A15_27	rn_A15_28	1	0
rl_A15_28_2	SMT	A15	rn_A15_28	rn_A15_2	1	1
rl_A15_29_30	SMT	A15	rn_A15_29	rn_A15_30	1	0
rl_A15_2_3	SMT	A15	rn_A15_2	rn_A15_3	1	0
rl_A15_30_22	SMT	A15	rn_A15_30	rn_A15_22	1	1
rl_A15_31_32	SMT	A15	rn_A15_31	rn_A15_32	1	0
rl_A15_32_8	SMT	A15	rn_A15_32	rn_A15_8	1	1
rl_A15_33_34	SMT	A15	rn_A15_33	rn_A15_34	1	0
rl_A15_34_A14_18	SMT	A15	rn_A15_34	rn_A14_18	1	1
rl_A15_35_36	SMT	A15	rn_A15_35	rn_A15_36	1	0
rl_A15_36_A16_4	SMT	A15	rn_A15_36	rn_A16_4	1	1
rl_A15_3_4	SMT	A15	rn_A15_3	rn_A15_4	1	0
rl_A15_4_5	SMT	A15	rn_A15_4	rn_A15_5	1	0
rl_A15_5_29	SMT	A15	rn_A15_5	rn_A15_29	1	1
rl_A15_5_6	SMT	A15	rn_A15_5	rn_A15_6	1	0
rl_A15_6_7	SMT	A15	rn_A15_6	rn_A15_7	1	0
rl_A15_7_8	SMT	A15	rn_A15_7	rn_A15_8	1	0
rl_A15_8_9	SMT	A15	rn_A15_8	rn_A15_9	1	0
rl_A15_9_10	SMT	A15	rn_A15_9	rn_A15_10	1	0
rl_A15_9_33	SMT	A15	rn_A15_9	rn_A15_33	1	1
rl_A16_10_11	SMT	A16	rn_A16_10	rn_A16_11	1	0
rl_A16_11_12	SMT	A16	rn_A16_11	rn_A16_12	1	0
rl_A16_11_13	SMT	A16	rn_A16_11	rn_A16_13	1	1
rl_A16_12_InterBay3_28	SMT	InterBay3	rn_A16_12	rn_InterBay3_28	1	1
rl_A16_13_14	SMT	A16	rn_A16_13	rn_A16_14	1	0
rl_A16_14_16	SMT	A16	rn_A16_14	rn_A16_16	1	1
rl_A16_15_16	SMT	A16	rn_A16_15	rn_A16_16	1	0
rl_A16_16_17	SMT	A16	rn_A16_16	rn_A16_17	1	0
rl_A16_17_18	SMT	A16	rn_A16_17	rn_A16_18	1	0
rl_A16_18_19	SMT	A16	rn_A16_18	rn_A16_19	1	0
rl_A16_19_20	SMT	A16	rn_A16_19	rn_A16_20	1	0
rl_A16_19_31	SMT	A16	rn_A16_19	rn_A16_31	1	1
rl_A16_1_2	SMT	A16	rn_A16_1	rn_A16_2	1	0
rl_A16_20_21	SMT	A16	rn_A16_20	rn_A16_21	1	0
rl_A16_21_22	SMT	A16	rn_A16_21	rn_A16_22	1	0
rl_A16_22_23	SMT	A16	rn_A16_22	rn_A16_23	1	0
rl_A16_23_24	SMT	A16	rn_A16_23	rn_A16_24	1	0
rl_A16_23_35	SMT	A16	rn_A16_23	rn_A16_35	1	1
rl_A16_24_25	SMT	A16	rn_A16_24	rn_A16_25	1	0
rl_A16_25_26	SMT	A16	rn_A16_25	rn_A16_26	1	0
rl_A16_25_27	SMT	A16	rn_A16_25	rn_A16_27	1	1
rl_A16_26_InterBay2_195	SMT	InterBay2	rn_A16_26	rn_InterBay2_195	1	1
rl_A16_27_28	SMT	A16	rn_A16_27	rn_A16_28	1	0
rl_A16_28_2	SMT	A16	rn_A16_28	rn_A16_2	1	1
rl_A16_29_30	SMT	A16	rn_A16_29	rn_A16_30	1	0
rl_A16_2_3	SMT	A16	rn_A16_2	rn_A16_3	1	0
rl_A16_30_22	SMT	A16	rn_A16_30	rn_A16_22	1	1
rl_A16_31_32	SMT	A16	rn_A16_31	rn_A16_32	1	0
rl_A16_32_8	SMT	A16	rn_A16_32	rn_A16_8	1	1
rl_A16_33_34	SMT	A16	rn_A16_33	rn_A16_34	1	0
rl_A16_34_A15_18	SMT	A16	rn_A16_34	rn_A15_18	1	1
rl_A16_35_36	SMT	A16	rn_A16_35	rn_A16_36	1	0
rl_A16_36_A17_4	SMT	A16	rn_A16_36	rn_A17_4	1	1
rl_A16_3_4	SMT	A16	rn_A16_3	rn_A16_4	1	0
rl_A16_4_5	SMT	A16	rn_A16_4	rn_A16_5	1	0
rl_A16_5_29	SMT	A16	rn_A16_5	rn_A16_29	1	1
rl_A16_5_6	SMT	A16	rn_A16_5	rn_A16_6	1	0
rl_A16_6_7	SMT	A16	rn_A16_6	rn_A16_7	1	0
rl_A16_7_8	SMT	A16	rn_A16_7	rn_A16_8	1	0
rl_A16_8_9	SMT	A16	rn_A16_8	rn_A16_9	1	0
rl_A16_9_10	SMT	A16	rn_A16_9	rn_A16_10	1	0
rl_A16_9_33	SMT	A16	rn_A16_9	rn_A16_33	1	1
rl_A17_10_11	SMT	A17	rn_A17_10	rn_A17_11	1	0
rl_A17_11_12	SMT	A17	rn_A17_11	rn_A17_12	1	0
rl_A17_11_13	SMT	A17	rn_A17_11	rn_A17_13	1	1
rl_A17_12_InterBay3_37	SMT	InterBay3	rn_A17_12	rn_InterBay3_37	1	1
rl_A17_13_14	SMT	A17	rn_A17_13	rn_A17_14	1	0
rl_A17_14_16	SMT	A17	rn_A17_14	rn_A17_16	1	1
rl_A17_15_16	SMT	A17	rn_A17_15	rn_A17_16	1	0
rl_A17_16_17	SMT	A17	rn_A17_16	rn_A17_17	1	0
rl_A17_17_18	SMT	A17	rn_A17_17	rn_A17_18	1	0
rl_A17_18_19	SMT	A17	rn_A17_18	rn_A17_19	1	0
rl_A17_19_20	SMT	A17	rn_A17_19	rn_A17_20	1	0
rl_A17_19_31	SMT	A17	rn_A17_19	rn_A17_31	1	1
rl_A17_1_2	SMT	A17	rn_A17_1	rn_A17_2	1	0
rl_A17_20_21	SMT	A17	rn_A17_20	rn_A17_21	1	0
rl_A17_21_22	SMT	A17	rn_A17_21	rn_A17_22	1	0
rl_A17_22_23	SMT	A17	rn_A17_22	rn_A17_23	1	0
rl_A17_23_24	SMT	A17	rn_A17_23	rn_A17_24	1	0
rl_A17_23_35	SMT	A17	rn_A17_23	rn_A17_35	1	1
rl_A17_24_25	SMT	A17	rn_A17_24	rn_A17_25	1	0
rl_A17_25_26	SMT	A17	rn_A17_25	rn_A17_26	1	0
rl_A17_25_27	SMT	A17	rn_A17_25	rn_A17_27	1	1
rl_A17_26_InterBay2_187	SMT	InterBay2	rn_A17_26	rn_InterBay2_187	1	1
rl_A17_27_28	SMT	A17	rn_A17_27	rn_A17_28	1	0
rl_A17_28_2	SMT	A17	rn_A17_28	rn_A17_2	1	1
rl_A17_29_30	SMT	A17	rn_A17_29	rn_A17_30	1	0
rl_A17_2_3	SMT	A17	rn_A17_2	rn_A17_3	1	0
rl_A17_30_22	SMT	A17	rn_A17_30	rn_A17_22	1	1
rl_A17_31_32	SMT	A17	rn_A17_31	rn_A17_32	1	0
rl_A17_32_8	SMT	A17	rn_A17_32	rn_A17_8	1	1
rl_A17_33_34	SMT	A17	rn_A17_33	rn_A17_34	1	0
rl_A17_34_A16_18	SMT	A17	rn_A17_34	rn_A16_18	1	1
rl_A17_35_36	SMT	A17	rn_A17_35	rn_A17_36	1	0
rl_A17_36_A18_4	SMT	A17	rn_A17_36	rn_A18_4	1	1
rl_A17_3_4	SMT	A17	rn_A17_3	rn_A17_4	1	0
rl_A17_4_5	SMT	A17	rn_A17_4	rn_A17_5	1	0
rl_A17_5_29	SMT	A17	rn_A17_5	rn_A17_29	1	1
rl_A17_5_6	SMT	A17	rn_A17_5	rn_A17_6	1	0
rl_A17_6_7	SMT	A17	rn_A17_6	rn_A17_7	1	0
rl_A17_7_8	SMT	A17	rn_A17_7	rn_A17_8	1	0
rl_A17_8_9	SMT	A17	rn_A17_8	rn_A17_9	1	0
rl_A17_9_10	SMT	A17	rn_A17_9	rn_A17_10	1	0
rl_A17_9_33	SMT	A17	rn_A17_9	rn_A17_33	1	1
rl_A18_10_11	SMT	A18	rn_A18_10	rn_A18_11	1	0
rl_A18_11_12	SMT	A18	rn_A18_11	rn_A18_12	1	0
rl_A18_11_13	SMT	A18	rn_A18_11	rn_A18_13	1	1
rl_A18_12_InterBay3_45	SMT	InterBay3	rn_A18_12	rn_InterBay3_45	1	1
rl_A18_13_14	SMT	A18	rn_A18_13	rn_A18_14	1	0
rl_A18_14_16	SMT	A18	rn_A18_14	rn_A18_16	1	1
rl_A18_15_16	SMT	A18	rn_A18_15	rn_A18_16	1	0
rl_A18_16_17	SMT	A18	rn_A18_16	rn_A18_17	1	0
rl_A18_17_18	SMT	A18	rn_A18_17	rn_A18_18	1	0
rl_A18_18_19	SMT	A18	rn_A18_18	rn_A18_19	1	0
rl_A18_19_20	SMT	A18	rn_A18_19	rn_A18_20	1	0
rl_A18_19_31	SMT	A18	rn_A18_19	rn_A18_31	1	1
rl_A18_1_2	SMT	A18	rn_A18_1	rn_A18_2	1	0
rl_A18_20_21	SMT	A18	rn_A18_20	rn_A18_21	1	0
rl_A18_21_22	SMT	A18	rn_A18_21	rn_A18_22	1	0
rl_A18_22_23	SMT	A18	rn_A18_22	rn_A18_23	1	0
rl_A18_23_24	SMT	A18	rn_A18_23	rn_A18_24	1	0
rl_A18_23_35	SMT	A18	rn_A18_23	rn_A18_35	1	1
rl_A18_24_25	SMT	A18	rn_A18_24	rn_A18_25	1	0
rl_A18_25_26	SMT	A18	rn_A18_25	rn_A18_26	1	0
rl_A18_25_27	SMT	A18	rn_A18_25	rn_A18_27	1	1
rl_A18_26_InterBay2_179	SMT	InterBay2	rn_A18_26	rn_InterBay2_179	1	1
rl_A18_27_28	SMT	A18	rn_A18_27	rn_A18_28	1	0
rl_A18_28_2	SMT	A18	rn_A18_28	rn_A18_2	1	1
rl_A18_29_30	SMT	A18	rn_A18_29	rn_A18_30	1	0
rl_A18_2_3	SMT	A18	rn_A18_2	rn_A18_3	1	0
rl_A18_30_22	SMT	A18	rn_A18_30	rn_A18_22	1	1
rl_A18_31_32	SMT	A18	rn_A18_31	rn_A18_32	1	0
rl_A18_32_8	SMT	A18	rn_A18_32	rn_A18_8	1	1
rl_A18_33_34	SMT	A18	rn_A18_33	rn_A18_34	1	0
rl_A18_34_A17_18	SMT	A18	rn_A18_34	rn_A17_18	1	1
rl_A18_35_36	SMT	A18	rn_A18_35	rn_A18_36	1	0
